drug_name,site,site_url,listed,listed_price,price_type,dosage,quantity,number_of_clicks_to_access_price,price_clear,dosage_clear,quantity_clear,price_type_clear,pharmacy_variation_note,restrictions_visible,easy_access,transparency_score,notes,trumprx_price,price_difference_from_trumprx
Ozempic,TrumpRx,https://trumprx.gov/p/ozempic,1,199.0,Starting,0.25/0.5mg,1 pen,2,1,1,1,1,0,0,1,5,"Have to click ""See full terms and conditions"" to see that you're only eligible if you have commercial insurance or are paying cash. Government-funded healthcare programs are not eligible. It asks how many times you've taken the pen, if its 0-1, TrumpRx price is $199, if its 2+, the TrumpRx price is $349",199.0,0.0
Farxiga,TrumpRx,https://trumprx.gov/p/farxiga,1,35.0,Starting,5mg,30 tablets,5,1,1,1,1,0,0,0,4,Have to register through manufacturers site (AstraZeneca) and get drug directly from manufacturer. The site does not include information like restrictions of who can or can't get the medication at the discounted price. Coupon cannot be taken to any pharmacy because you have to get it directly from the manufacturer.,35.0,0.0
Xigduo XR,TrumpRx,https://trumprx.gov/p/xigduo,1,45.0,Starting,2.5mg/1000mg,30 tablets,5,1,1,1,1,0,0,0,4,Have to register through manufacturers site (AstraZeneca) and get drug directly from manufacturer. The site does not include information like restrictions of who can or can't get the medication at the discounted price. Coupon cannot be taken to any pharmacy because you have to get it directly from the manufacturer.,45.0,0.0
Ozempic,GoodRx,https://www.goodrx.com/ozempic,1,199.0,Coupon,0.25/0.5mg,1 pen,3,1,1,1,0,1,1,0,5,"GoodRx has a partnership with TrumpRx for Ozempic, but you can get the coupon through GoodRx's site. The website also promotes Ozempic as low as $25 with insurance, but that takes you to Ozempic's website where you have to answer enrollment questions, and then your eligibility is determined. You cannot use the coupon at all if you're enrolled in a government program. To access the coupon you have to confirm that you're not enrolled in a government program and agree to not seek reimbursement from your insurance plan after utilizing the coupon.",199.0,0.0
Rybelsus,GoodRx,https://www.goodrx.com/rybelsus,1,1060.0,Coupon,3mg,30 tablets,2,0,1,1,1,1,1,1,6,"Promotes the GoodRx Gold plan with transparent pricing for additional savings, as well as how much the program costs. It also lets you access the free coupons and see those prices right beneath it, so it doesn't hide anything.",,
Jardiance,GoodRx,https://www.goodrx.com/jardiance,1,354.0,Coupon,10mg,30 tablets,3,1,1,1,1,1,1,0,6,"First it brings you to a page that promotes the manufacturers coupon, which you have to register for, and you cannot use if you don't have commercial health insurance or government health insurance. However, it does give another option for GoodRx specific coupons, which can be used by anyone not in conjunction with insurance.",,
Farxiga,GoodRx,https://www.goodrx.com/farxiga,1,288.0,Coupon,5mg,30 tablets,2,1,1,1,1,1,1,1,7,"The price is the same across all pharmacies because it's a manufacturers coupon that GoodRx is sponsored by. You don't have to register for the coupon but it does clearly state that you cannot be enrolled in a government program, and it makes you confirm that you are not enrolled in any of those programs. Examples of those excluded programs are included and clearly stated, so users don't have to guess.",35.0,253.0
Trijardy XR,GoodRx,https://www.goodrx.com/trijardy-xr,1,188.63,Starting,12.5mg/2.5mg/1000mg,30 tablets,2,1,1,1,1,1,0,1,6,"The lowest listed price is $183.10, but those savings card require a GoodRx Gold membership. However, it still allows you to access the free coupon card.",,
Synjardy,GoodRx,https://www.goodrx.com/synjardy,1,355.4,Starting,5mg/500mg,60 tablets,3,1,1,1,1,1,1,0,6,"First it brings you to a page that promotes the manufacturers coupon, which you have to register for, and you cannot use if you don't have commercial health insurance or government health insurance. However, it does give another option for GoodRx specific coupons, which can be used by anyone not in conjunction with insurance.",,
Xigduo XR,GoodRx,https://www.goodrx.com/xigduo-xr,1,294.79,Starting,2.5mg/1000mg,30 tablets,2,1,1,1,1,1,1,1,7,"Some of the offers displayed are the prices available to GoodRx Gold members, but you can still access the free coupons as well.",45.0,249.79
Ozempic,SingleCare,https://www.singlecare.com/prescription/ozempic,1,856.97,Starting,0.25mg/0.5mg,1 pen,2,1,1,1,1,1,0,1,6,"Promotes free membership where you can get additional savings, but you can get the coupon without registering. Does not disclose that the coupon cannot be using in combination with insurance.",199.0,657.97
Rybelsus,SingleCare,https://www.singlecare.com/prescription/rybelsus,1,903.43,Starting,3mg,30 tablets,2,1,1,1,1,1,0,1,6,"Promotes free membership where you can get additional savings, but you can get the coupon without registering. Does not disclose that the coupon cannot be using in combination with insurance.",,
Jardiance,SingleCare,https://www.singlecare.com/prescription/jardiance,1,210.12,Starting,10mg,30 tablets,2,1,1,1,1,1,0,1,6,"Promotes free membership where you can get additional savings, but you can get the coupon without registering. Does not disclose that the coupon cannot be using in combination with insurance.",,
Farxiga,SingleCare,https://www.singlecare.com/prescription/farxiga,1,371.5,Starting,5mg,30 tablets,2,1,1,1,1,1,0,1,6,"Promotes free membership where you can get additional savings, but you can get the coupon without registering. Does not disclose that the coupon cannot be using in combination with insurance.",35.0,336.5
Trijardy XR,SingleCare,https://www.singlecare.com/prescription/trijardy-xr,1,237.91,Starting,12.5mg/2.5mg/1000mg,30 tablets,2,1,1,1,1,1,0,1,6,"Promotes free membership where you can get additional savings, but you can get the coupon without registering. Does not disclose that the coupon cannot be using in combination with insurance.",,
Synjardy,SingleCare,https://www.singlecare.com/prescription/synjardy,1,243.66,Starting,5mg/500mg,60 tablets,2,1,1,1,1,1,0,1,6,"Promotes free membership where you can get additional savings, but you can get the coupon without registering. Does not disclose that the coupon cannot be using in combination with insurance.",,
Xigduo XR,SingleCare,https://www.singlecare.com/prescription/xigduo-xr,1,183.85,Starting,2.5mg/1000mg,30 tablets,2,1,1,1,1,1,0,1,6,"Only offers two strengths, 5mg/500mg",45.0,138.85
